layer,filter,n_rows,sum_cost,note
L2,imp=0 (전체),195,5143.0,
L2,imp=0 ∧ cost>0 (이상치),11,5143.0,
L3,imp=0 (전체),112,6894.0,
L3,imp=0 ∧ cost>0 (이상치),6,6894.0,
L3,"source='expkeyword' (측정체계 부재 — 모집단에서 제외, 규모만 명시)",2598758,,창 2025-07-23~2026-08-16
L2,data_gap(2026-03-02~03-29),2619,91570.0,
L3,data_gap(2026-03-02~03-29),0,0.0,
L2,ad_date>2026-08-09(미성숙),10562,956138.0,
L3,ad_date>2026-08-09(미성숙),95562,3702099.0,
L2,"WEB_SITE keyword_id=''(그룹롤업 버킷, __backfill__ 아님 — grain 정의상 L2 포함 불가)",58930,14155883.0,476개 adgroup에 분포. L1(그룹 총합)엔 포함되지만 L2(키워드 grain)엔 키워드 정체성이 없어 못 넣는다 — 단계3 검산 괴리의 주 원인.
L2,WEB_SITE __backfill__ sentinel(제외 대상),692,7768079.0,이미 keyword_id<>'' 필터와 무관하게 adgroup_id<>'__backfill__'로 제외됨(위 필수제외)
