token,raw,category,ambiguity_risk,matched_n_combo,matched_clk,matched_cost,matched_conv_cnt,matched_conv_amt,sources,notes
갤럭시,갤럭시,brand_root,low,259837,24300,23309133,798,13145310,docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (series=galaxy_s 행 213건(신뢰도 무관 — series 식별 자체는 확정)) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (series=galaxy_a 행 29건(신뢰도 무관 — series 식별 자체는 확정)) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (series=galaxy_z_fold 행 42건(신뢰도 무관 — series 식별 자체는 확정)) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (series=galaxy_z_flip 행 35건(신뢰도 무관 — series 식별 자체는 확정)),series 접두사 — model 대조 없이도 series 판정은 유지 | device_launch_dates_kr.json:model 접두사 일치 39건 교차확인 | series 접두사 — model 대조 없이도 series 판정은 유지 | device_launch_dates_kr.json:model 접두사 일치 39건 교차확인 | series 접두사 — model 대조 없이도 series 판정은 유지 | device_launch_dates_kr.json:model 접두사 일치 39건 교차확인 | series 접두사 — model 대조 없이도 series 판정은 유지 | device_launch_dates_kr.json:model 접두사 일치 39건 교차확인
아이폰,아이폰,brand_root,low,161911,11648,11730522,180,3063830,docs/references/data/63_band_decomposition/adgroup_model_map.csv ∪ backend/app/services/naver_ad/search_term_judge.py:parsed_model ∪ _SS_WHITELIST_TOKENS (series=iphone 행 214건(신뢰도 무관 — series 식별 자체는 확정)),series 접두사 — model 대조 없이도 series 판정은 유지
폴드7,폴드7,model_code,low,37511,5844,4271231,51,877300,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 9행, 예: grp-a001-01-000000052260531,grp-a001-01-000000052263060,grp-a001-01-000000052822210)",리터럴 adgroup_name/campaign_name에서 직접 추출
갤럭시탭,갤럭시탭,brand_root,low,68948,5364,3997475,144,2472900,docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (series=galaxy_tab 행 99건(신뢰도 무관 — series 식별 자체는 확정)),series 접두사 — model 대조 없이도 series 판정은 유지 | device_launch_dates_kr.json:model 접두사 일치 6건 교차확인
폴드8,폴드8,model_code,low,25536,2942,3386793,203,3564700,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 18행, 예: grp-a001-01-000000070094275,grp-a001-01-000000070094275,grp-a001-01-000000070102294)",리터럴 adgroup_name/campaign_name에서 직접 추출
플립7,플립7,model_code,low,29447,3551,2934546,26,326000,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name/campaign_name (정규식 (폴드|플립)+숫자[와이드/울트라/SE] 매치 8행, 예: grp-a001-01-000000052182861,grp-a001-01-000000052225586,grp-a001-01-000000052822167)",리터럴 adgroup_name/campaign_name에서 직접 추출
s25,S25,model_code,"medium(알파벳1+숫자, 예: s8)",40413,3194,2573858,46,702610,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:parsed_model (match_confidence=exact, 41행, 예: grp-a001-01-000000047485469,grp-a001-01-000000047485563,grp-a001-01-000000047486489) || docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061581256,grp-a001-02-000000061793373)",series:code 파싱 결과 중 code 부분 | band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
s23울트라,S23울트라,model_code,low,7365,1951,2353723,112,1706950,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061793341,grp-a001-02-000000061793521)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
맥세이프,맥세이프,brand_root,low,20567,3772,2097664,7,158200,backend/app/services/naver_ad/search_term_judge.py:_SS_WHITELIST_TOKENS (하드코딩 화이트리스트 상수(코드 정본)),브랜드성 토큰만 채택 | adgroup_model_map.csv:campaign_name '맥세이프카드케이스' 7건 교차확인
s25울트라,S25울트라,model_code,low,16563,2226,2026397,23,356400,"docs/references/data/63_band_decomposition/adgroup_model_map.csv:adgroup_name (소다케이스_갤럭시/아이폰 캠페인, _맥/_일 접미(케이스 부착방식 태그) 제거 후 2행, 예: grp-a001-02-000000061581260,grp-a001-02-000000061793395)",band_group_total의 parsed_model이 커버 안 하는 액세서리 캠페인 — adgroup_name 원문에서 직접 추출
